Scheme Code,Scheme Name,ISIN Div Payout/ISIN Growth,ISIN Div Reinvestment,Net Asset Value,Repurchase Price,Sale Price,Date
102652,ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option,,,11.7663,11.7663,11.7663,2006-04-05
102653,ABN AMRO  Monthly Income Plan-Regular Plan-Monthly Dividend Option,,,10.5249,10.5249,10.5249,2006-04-05
102654,ABN AMRO  Monthly Income Plan-Regular Plan-Quarterly Dividend Option,,,10.4692,10.4692,10.4692,2006-04-05
102645,ABN AMRO  Short Term Income Fund-Institutional Plan-Daily Dividend Option,,,10,10,10,2006-04-05
102644,ABN AMRO  Short Term Income Fund-Institutional Plan-Growth Option,,,10.8633,10.8633,10.8633,2006-04-05
102646,ABN AMRO  Short Term Income Fund-Institutional Plan-Monthly Dividend Option,,,10.0127,10.0127,10.0127,2006-04-05
102647,ABN AMRO  Short Term Income Fund-Institutional Plan-Weekly Dividend Option,,,0,0,0,2006-04-05
102649,ABN AMRO  Short Term Income Fund-Institutional Plus Plan-Daily Dividend Option,,,0,0,0,2006-04-05
102648,ABN AMRO  Short Term Income Fund-Institutional Plus Plan-Growth Option,,,10.2925,10.2925,10.2925,2006-04-05
102650,ABN AMRO  Short Term Income Fund-Institutional Plus Plan-Monthly Dividend Option,,,0,0,0,2006-04-05
102651,ABN AMRO  Short Term Income Fund-Institutional Plus Plan-Weekly Dividend Option,,,0,0,0,2006-04-05
102641,ABN AMRO  Short Term Income Fund-Regular Plan-Growth Option,,,10.7844,10.7844,10.7844,2006-04-05
102642,ABN AMRO  Short Term Income Fund-Regular Plan-Monthly Dividend Option,,,10.0112,10.0112,10.0112,2006-04-05
102643,ABN AMRO  Short Term Income Fund-Regular Plan-Weekly Dividend Option,,,10,10,10,2006-04-05
102622,ABN AMRO Flexi Debt Fund-Regular Plan-Daily Dividend Option,,,10,10,10,2006-04-05
102619,ABN AMRO Flexi Debt Fund-Regular Plan-Growth Option,,,10.6395,10.6395,10.6395,2006-04-05
102621,ABN AMRO Flexi Debt Fund-Regular Plan-Half-Yearly Dividend Option,,,10.0425,10.0425,10.0425,2006-04-05
102620,ABN AMRO Flexi Debt Fund-Regular Plan-Quarterly Dividend Option,,,10.0517,10.0517,10.0517,2006-04-05
102623,ABN AMRO Flexi Debt Fund-Regular Plan-Weekly Dividend Option,,,10.013,10.013,10.013,2006-04-05
103291,ABN AMRO Money Plus Fund-Institutional Plan-Growth Option,,,10.2554,10.2554,10.2554,2006-04-05
103293,ABN AMRO Money Plus Fund-Institutional Plan-Monthly Dividend Option,,,0,0,0,2006-04-05
103292,ABN AMRO Money Plus Fund-Institutional Plan-Weekly Dividend Option,,,10.0077,10.0077,10.0077,2006-04-05
103288,ABN AMRO Money Plus Fund-Regular Plan-Growth Option,,,10.2305,10.2305,10.2305,2006-04-05
103290,ABN AMRO Money Plus Fund-Regular Plan-Monthly Dividend Option,,,10.009,10.009,10.009,2006-04-05
103289,ABN AMRO Money Plus Fund-Regular Plan-Weekly Dividend Option,,,10.0071,10.0071,10.0071,2006-04-05
102855,Birla Sun Life Fixed Maturity Plan - Annual  Series 3-Dividend,,,10.2177,10.0133,10.2177,2006-04-05
102856,Birla Sun Life Fixed Maturity Plan - Annual  Series 3-Growth,,,10.9314,10.7128,10.9314,2006-04-05
102754,Birla Sun Life Fixed Maturity Plan - Annual Series 1-Dividend,,,10.2815,10.0759,10.2815,2006-04-05
102755,Birla Sun Life Fixed Maturity Plan - Annual Series 1-Growth,,,10.8632,10.6459,10.8632,2006-04-05
102682,Birla Sun Life Fixed Maturity Plan - Quarterly Series II-Dividend,,,10.0295,9.8289,10.0295,2006-04-05
102683,Birla Sun Life Fixed Maturity Plan - Quarterly Series II-Growth,,,10.8994,10.6814,10.8994,2006-04-05
100970,Aditya Birla Sun Life MIP - Regular Plan - Growth,INF209K01694,,18.0417,17.9334,18.0417,2006-04-05
100971,Aditya Birla Sun Life MIP - Regular Plan - Monthly Dividend,INF209K01702,,11.0369,10.9707,11.0369,2006-04-05
100972,Aditya Birla Sun Life MIP - Regular Plan - Monthly Payment,INF209K01710,,18.0417,17.9334,18.0417,2006-04-05
101713,Aditya Birla Sun Life MIP II - Saving 5 Plan - Growth - Regular Plan,INF209K01728,,10.9636,10.9636,10.9636,2006-04-05
101711,Aditya Birla Sun Life MIP II - Savings 5 Plan - Monthly Dividend - Regular Plan,INF209K01736,INF209K01DE3,10.1089,10.1089,10.1089,2006-04-05
101712,Aditya Birla Sun Life MIP II - Savings 5 Plan - Monthly Growth /Payment,INF209K01744,,10.9636,10.9636,10.9636,2006-04-05
103184,Aditya Birla Sun Life Monthly Income - Dividend - Regular Plan,INF209K01AX9,INF209K01DX3,10.7166,10.6523,10.7166,2006-04-05
103185,Aditya Birla Sun Life Monthly Income - Growth - Regular Plan,INF209K01AZ4,,23.5719,23.4305,23.5719,2006-04-05
103186,Aditya Birla Sun Life Monthly Income - Quarterly Dividend - Regular Plan,INF209K01AY7,INF209K01DY1,11.0066,10.9406,11.0066,2006-04-05
102670,BARODA PIONEER CHILDREN FUND-GIFT PLAN,,,10.3024,10.1994,10.3024,2006-04-05
102669,BOB NRI FUND-Flexi Asset Plan-Dividend,,,10.4964,10.4964,10.6014,2006-04-05
102667,BOB NRI FUND-Long Term Bond Plan-Dividend,,,10.5614,10.5086,10.5614,2006-04-05
102666,BOB NRI FUND-Long Term Bond Plan-Growth,,,10.5613,10.5085,10.5613,2006-04-05
102665,BOB NRI FUND-Short Term Bond Plan-Dividend,,,10.6946,10.6946,10.6946,2006-04-05
102664,BOB NRI FUND-Short Term Bond Plan-Growth,,,10.6946,10.6946,10.6946,2006-04-05
100576,DBS Chola Freedom Income -Short Term Fund-Cum- Institutional Plan,,,11.2130,11.2130,11.2130,2006-04-05
100575,DBS Chola Freedom Income -Short Term Fund-Regular - Cumulative,,,11.0868,11.0868,11.0868,2006-04-05
100574,DBS Chola Freedom Income -Short Term Fund-Regular-Monthly Dividend,,,10.6650,10.6650,10.6650,2006-04-05
101192,DBS Chola Freedom Income-STF Regular-Semi Annual Dividend,,,10.9985,10.9985,10.9985,2006-04-05
101958,DBS Chola Liquid Fund - Institutional Plus Weekly Dividend,,,11.7966,11.7966,11.7966,2006-04-05
101905,DBS Chola Monthly Income Plan - Regular - Bonus,,,12.6377,12.6377,12.6377,2006-04-05
102019,DBS Chola Monthly Income Plan -Reg.-Quarterly Dividend Plan,,,10.4014,10.4014,10.4014,2006-04-05
102018,DBS Chola Monthly Income Plan -Regular - Cumulative Plan,,,12.6377,12.6377,12.6377,2006-04-05
101895,DBS Chola Monthly Income Plan-Regular-Monthly Dividend Plan,,,10.3231,10.3231,10.3231,2006-04-05
103137,DBS Chola Short Term Floating Rate Fund-Cumulative,,,10.3831,10.3831,10.3831,2006-04-05
103134,DBS Chola Short Term Floating Rate Fund-Dividend-Daily,,,10.0149,10.0149,10.0149,2006-04-05
103136,DBS Chola Short Term Floating Rate Fund-Dividend-Monthly,,,10.1045,10.1045,10.1045,2006-04-05
103135,DBS Chola Short Term Floating Rate Fund-Dividend-Weekly,,,10.1026,10.1026,10.1026,2006-04-05
100567,DBS Chola Triple Ace-Regular - Quarterly Dividend,,,11.0276,11.0276,11.0276,2006-04-05
100563,DBS Chola Triple Ace-Regular -Cumulative,,,23.4953,23.4953,23.4953,2006-04-05
100573,DBS Chola Triple Ace-Regular Bonus,,,13.0218,13.0218,13.0218,2006-04-05
100569,DBS Chola Triple Ace-Semi Annual Dividend,,,11.3406,11.3406,11.3406,2006-04-05
103591,DWS Low Duration Fund - Regular Plan - Growth,INF223J01CL3,,10.0599,10.0448,10.0599,2006-04-05
103590,DWS Low Duration Fund - Regular Plan - Monthly Dividend,INF223J01CM1,INF223J01CN9,10.0599,10.0448,10.0599,2006-04-05
101731,DWS Premier Bond Fund - Annual Dividend,INF223J01CY6,INF223J01CZ3,10.4891,10.4367,10.4891,2006-04-05
101732,DWS Premier Bond Fund - Growth,INF223J01DB2,,11.6979,11.6979,11.9319,2006-04-05
101730,DWS Premier Bond Fund - Monthly Dividend,INF223J01DC0,INF223J01DD8,10.5199,10.4673,10.5199,2006-04-05
101729,DWS Premier Bond Fund - Quarterly Dividend,INF223J01DE6,INF223J01DF3,10.1956,10.1446,10.1956,2006-04-05
101627,DWS Short Maturity Fund - Growth,INF223J01DT4,,11.7946,11.7946,11.7946,2006-04-05
101625,DWS Short Maturity Fund - Monthly Dividend,INF223J01DU2,INF223J01DV0,10.0578,10.0578,10.0578,2006-04-05
101626,DWS Short Maturity Fund - Weekly Dividend,INF223J01DX6,INF223J01DY4,10.1177,10.1177,10.1177,2006-04-05
103275,DSP BlackRock Income Opportunities Fund - Institutional Plan-Daily Dividend Reinvest,,,1000.8300,1000.8300,1000.8300,2006-04-05
103277,DSP BlackRock Income Opportunities Fund - Institutional Plan-Growth,INF740K01FN3,,1026.6199,1026.6199,1026.6199,2006-04-05
103276,DSP BlackRock Income Opportunities Fund - Institutional Plan-Weekly Dividend Reinvest,,,1001.5911,1001.5911,1001.5911,2006-04-05
101742,DSP BlackRock Savings Manager Fund - Moderate-Growth,,,14.2827,14.2827,14.2827,2006-04-05
101743,DSP BlackRock Savings Manager Fund - Moderate-Monthly Dividend,,,11.1089,11.1089,11.1089,2006-04-05
101744,DSP BlackRock Savings Manager Fund - Moderate-Quarterly Dividend,,,11.1565,11.1565,11.1565,2006-04-05
100551,Templeton India Childrenâs Asset Plan-Education Plan,INF090I01AF4,,23.4499,23.4499,23.6900,2006-04-05
100553,Templeton India Childrenâs Asset Plan-Gift Plan - Dividend,INF090I01AG2,INF090I01AH0,27.1378,27.1378,27.5500,2006-04-05
100552,Templeton India Childrenâs Asset Plan-Gift Plan - Growth,INF090I01AI8,,27.1378,27.1378,27.5500,2006-04-05
101430,HDFC Regular Savings Fund-GROWTH,INF179K01AY2,,12.5905,12.5590,12.5905,2006-04-05
101431,HDFC Regular Savings Fund-Monthly Dividend Option,INF179K01AW6,INF179K01AX4,10.2959,10.2702,10.2959,2006-04-05
102257,HSBC MIP - Regular -  Dividend - Monthly,INF336L01057,INF336L01065,10.5037,10.4512,10.5037,2006-04-05
102258,HSBC MIP - Regular - Dividend - Quarterly,INF336L01073,INF336L01081,10.5170,10.4644,10.5170,2006-04-05
102259,HSBC MIP - Regular - Growth,INF336L01040,,11.5597,11.5019,11.5597,2006-04-05
103062,ICICI Prudential Blended Plan B -  Dividend Option - I,INF109K01EA1,INF109K01AQ5,10.2660,10.2147,10.2660,2006-04-05
103061,ICICI Prudential Blended Plan B -  Growth Option - I,INF109K01AR3,,10.5019,10.4494,10.5019,2006-04-05
103064,ICICI Prudential Blended Plan B Institutional Dividend Option - II,INF109K01VY5,INF109K01VX7,10.2787,10.2787,10.2787,2006-04-05
103063,ICICI Prudential Blended Plan B Institutional Growth Option - II,INF109K01AS1,,#DIV/0!,#DIV/0!,#DIV/0!,2006-04-05
101098,ICICI Prudential Child Care Plan Study - Cumulative,INF109K01597,,18.6423,18.4559,18.9219,2006-04-05
102421,ICICI Prudential Fixed Maturity Plan - 1 Year-Series 12-Institutional,,,10.7941,10.5242,10.7941,2006-04-05
102416,ICICI Prudential Fixed Maturity Plan - 1 Year-Series 12-Retail,,,10.7448,10.4762,10.7448,2006-04-05
102074,ICICI Prudential FMP Series 5-FMP Yearly Series 5-Institutional Dividend,,,10.7454,10.5842,10.7454,2006-04-05
102073,ICICI Prudential FMP Series 5-FMP Yearly Series 5-Institutional Growth,,,10.7454,10.5842,10.7454,2006-04-05
102072,ICICI Prudential FMP Series 5-FMP Yearly Series 5-Retail Dividend,,,10.7182,10.5574,10.7182,2006-04-05
102071,ICICI Prudential FMP Series 5-FMP Yearly Series 5-Retail Growth,,,10.7182,10.5574,10.7182,2006-04-05
102288,ICICI Prudential FMP Yearly Series 24-Dividend Option,,,10.0218,10.0218,10.0218,2006-04-05
102289,ICICI Prudential FMP Yearly Series 24-Growth,,,11.1583,11.1583,11.1583,2006-04-05
102587,ICICI Prudential FMP-15 Month - Series 25-Institutional Plan-Cumulative Option,,,10.8005,10.5845,10.8005,2006-04-05
102585,ICICI Prudential FMP-15 Month - Series 25-Retail Plan-Cumulative Option,,,10.7398,10.5250,10.7398,2006-04-05
102680,ICICI Prudential FMP-Quarterly -Series 26-Dividend Plan,,,,,,2006-04-05
102678,ICICI Prudential FMP-Quarterly -Series 26-Growth Option,,,,,,2006-04-05
102710,ICICI Prudential FMP-Yearly -Series 25,,,10.1779,9.9743,10.1779,2006-04-05
100955,ICICI Prudential MIP - Dividend Half Yearly,INF109K01FG5,INF109K01548,11.7205,11.6619,11.7205,2006-04-05
100953,ICICI Prudential MIP - Dividend Monthly,INF109K01FH3,INF109K01522,11.6138,11.5557,11.6138,2006-04-05
100954,ICICI Prudential MIP - Dividend Quarterly,INF109K01FI1,INF109K01530,11.8338,11.7746,11.8338,2006-04-05
100952,ICICI Prudential MIP - Growth,INF109K01555,,17.8432,17.7540,17.8432,2006-04-05
102223,ING Dynamic Duration Fund-Annual Dividend Option,,,10.1869,10.1869,10.1869,2006-04-05
102231,ING Dynamic Duration Fund-Bonus Option,,,11.0356,11.0356,11.0356,2006-04-05
102222,ING Dynamic Duration Fund-Growth Option,,,11.0356,11.0356,11.0356,2006-04-05
102226,ING Dynamic Duration Fund-Half Yearly Dividend Option,,,10.1028,10.1028,10.1028,2006-04-05
102224,ING Dynamic Duration Fund-Monthly Dividend Option,,,10.0718,10.0718,10.0718,2006-04-05
102225,ING Dynamic Duration Fund-Quarterly Dividend Option,,,10.1073,10.1073,10.1073,2006-04-05
100180,ING Income Fund- Regular Plan - Dividend Option (Annual),INF084M01762,INF084M01770,10.2693,10.2693,10.2693,2006-04-05
100185,ING Income Fund-Bonus Option,,,10.6440,10.6440,10.6440,2006-04-05
100186,ING Income Fund-Institutional Bonus Option,,,10.7794,10.7794,10.7794,2006-04-05
100182,ING Income Fund-Institutional Plan - Dividend Option (Half Yearly),INF084M01812,INF084M01820,10.0000,10.0000,10.0000,2006-04-05
100183,ING Income Fund-Institutional Plan - Dividend Option (Quarterly),INF084M01796,INF084M01804,10.0000,10.0000,10.0000,2006-04-05
100187,ING Income Fund-Institutional Plan - Growth Option,INF084M01788,,18.0068,18.0068,18.0068,2006-04-05
100184,ING Income Fund-Institutional Plan -Dividend Option (Annual),INF084M01838,INF084M01846,10.2062,10.2062,10.2062,2006-04-05
100179,ING Income Fund-Regular Plan -Dividend Option (Half Yearly),INF084M01747,INF084M01754,10.1366,10.1366,10.1366,2006-04-05
100178,ING Income Fund-Regular Plan -Dividend Option (Quarterly),INF084M01721,INF084M01739,10.1062,10.1062,10.1062,2006-04-05
100181,ING Income Fund-Regular Plan -Growth Option,INF084M01713,,17.4570,17.4570,17.4570,2006-04-05
102236,ING MIP Fund-Annual Dividend Option,INF084M01994,INF084M01AA0,10.5693,10.5693,10.5693,2006-04-05
102240,ING MIP Fund-Bonus Option,,,11.7300,11.7300,11.7300,2006-04-05
102232,ING MIP Fund-Growth Option,INF084M01929,,11.7300,11.7300,11.7300,2006-04-05
102235,ING MIP Fund-Half Yearly Dividend Option,INF084M01978,INF084M01986,10.7022,10.7022,10.7022,2006-04-05
102233,ING MIP Fund-Monthly Dividend Option,INF084M01937,INF084M01945,10.8433,10.8433,10.8433,2006-04-05
102234,ING MIP Fund-Quarterly Dividend Option,INF084M01952,INF084M01960,10.6596,10.6596,10.6596,2006-04-05
102714,ING Select Debt Fund-Annual Dividend Option,,,10.0701,10.0701,10.0701,2006-04-05
102715,ING Select Debt Fund-Bonus Option,,,10.7328,10.7328,10.7328,2006-04-05
102711,ING Select Debt Fund-Growth Option,,,10.7328,10.7328,10.7328,2006-04-05
102713,ING Select Debt Fund-Half Yearly Dividend Option,,,10.1261,10.1261,10.1261,2006-04-05
102712,ING Select Debt Fund-Quarterly Dividend Option,,,10.0646,10.0646,10.0646,2006-04-05
101550,ING Short Term Income Fund -Dividend Option,INF084M01697,INF084M01705,11.0290,11.0290,11.0290,2006-04-05
101288,ING Short Term Income Fund-Growth Option,INF084M01689,,12.3241,12.3241,12.3241,2006-04-05
102904,JM Equity & Derivative Fund-Bonus-Bonus option,,,10.7221,10.7221,10.7221,2006-04-05
102903,JM Equity & Derivative Fund-Dividend-dividend option,,,10.3662,10.3662,10.3662,2006-04-05
102902,JM Equity & Derivative Fund-Growth-growth option,,,10.7215,10.7215,10.7215,2006-04-05
103206,JM Fixed Maturity Fund-YSB2-Dividend Option,,,10.3039,10.3039,10.6130,2006-04-05
103207,JM Fixed Maturity Fund-YSB2-Growth Option,,,10.3039,10.3039,10.6130,2006-04-05
103156,JM Fixed Maturity Fund-YSA2-Dividend Option,,,10.3435,10.3435,10.6538,2006-04-05
103157,JM Fixed Maturity Fund-YSA2-Growth Option,,,10.3435,10.3435,10.6538,2006-04-05
102026,JM MIP FUND-Annual Dividend,INF192K01AI8,INF192K01AJ6,11.4726,11.4726,11.4726,2006-04-05
102027,JM MIP FUND-Growth,INF192K01AK4,,12.7172,12.7172,12.7172,2006-04-05
102024,JM MIP FUND-Monthly Dividend,INF192K01AE7,INF192K01AF4,10.8388,10.8388,10.8388,2006-04-05
