Scheme Code,Scheme Name,ISIN Div Payout/ISIN Growth,ISIN Div Reinvestment,Net Asset Value,Repurchase Price,Sale Price,Date
102652,ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option,,,13.0694,13.0694,13.0694,2007-05-08
102653,ABN AMRO  Monthly Income Plan-Regular Plan-Monthly Dividend Option,,,10.7035,10.7035,10.7035,2007-05-08
102654,ABN AMRO  Monthly Income Plan-Regular Plan-Quarterly Dividend Option,,,10.6837,10.6837,10.6837,2007-05-08
102645,ABN AMRO  Short Term Income Fund-Institutional Plan-Daily Dividend Option,,,10.0,10.0,10.0,2007-05-08
102644,ABN AMRO  Short Term Income Fund-Institutional Plan-Growth Option,,,11.6383,11.6383,11.6383,2007-05-08
102646,ABN AMRO  Short Term Income Fund-Institutional Plan-Monthly Dividend Option,,,10.0149,10.0149,10.0149,2007-05-08
102647,ABN AMRO  Short Term Income Fund-Institutional Plan-Weekly Dividend Option,,,10.0084,10.0084,10.0084,2007-05-08
102649,ABN AMRO  Short Term Income Fund-Institutional Plus Plan-Daily Dividend Option,,,0.0,0.0,0.0,2007-05-08
102648,ABN AMRO  Short Term Income Fund-Institutional Plus Plan-Growth Option,,,0.0,0.0,0.0,2007-05-08
102650,ABN AMRO  Short Term Income Fund-Institutional Plus Plan-Monthly Dividend Option,,,0.0,0.0,0.0,2007-05-08
102651,ABN AMRO  Short Term Income Fund-Institutional Plus Plan-Weekly Dividend Option,,,0.0,0.0,0.0,2007-05-08
102641,ABN AMRO  Short Term Income Fund-Regular Plan-Growth Option,,,11.5087,11.5087,11.5087,2007-05-08
102642,ABN AMRO  Short Term Income Fund-Regular Plan-Monthly Dividend Option,,,10.0139,10.0139,10.0139,2007-05-08
102643,ABN AMRO  Short Term Income Fund-Regular Plan-Weekly Dividend Option,,,10.008,10.008,10.008,2007-05-08
102622,ABN AMRO Flexi Debt Fund-Regular Plan-Daily Dividend Option,,,10.0001,10.0001,10.0001,2007-05-08
102619,ABN AMRO Flexi Debt Fund-Regular Plan-Growth Option,,,11.7217,11.7217,11.7217,2007-05-08
102621,ABN AMRO Flexi Debt Fund-Regular Plan-Half-Yearly Dividend Option,,,10.1855,10.1855,10.1855,2007-05-08
102620,ABN AMRO Flexi Debt Fund-Regular Plan-Quarterly Dividend Option,,,10.1923,10.1923,10.1923,2007-05-08
102623,ABN AMRO Flexi Debt Fund-Regular Plan-Weekly Dividend Option,,,10.0104,10.0104,10.0104,2007-05-08
105438,ABN AMRO Money Plus Fund-Institutional Plan- Daily Dividend Option (Compulsory Reinvestment),,,10.0001,10.0001,10.0001,2007-05-08
103291,ABN AMRO Money Plus Fund-Institutional Plan-Growth Option,,,11.1451,11.1451,11.1451,2007-05-08
103293,ABN AMRO Money Plus Fund-Institutional Plan-Monthly Dividend Option,,,10.0212,10.0212,10.0212,2007-05-08
103292,ABN AMRO Money Plus Fund-Institutional Plan-Weekly Dividend Option,,,10.0125,10.0125,10.0125,2007-05-08
103288,ABN AMRO Money Plus Fund-Regular Plan-Growth Option,,,11.0989,11.0989,11.0989,2007-05-08
103290,ABN AMRO Money Plus Fund-Regular Plan-Monthly Dividend Option,,,10.0213,10.0213,10.0213,2007-05-08
103289,ABN AMRO Money Plus Fund-Regular Plan-Weekly Dividend Option,,,10.0123,10.0123,10.0123,2007-05-08
102855,Birla Sun Life Fixed Maturity Plan - Annual  Series 3-Dividend,,,10.1398,9.937,10.1398,2007-05-08
102856,Birla Sun Life Fixed Maturity Plan - Annual  Series 3-Growth,,,11.8057,11.5696,11.8057,2007-05-08
102754,Birla Sun Life Fixed Maturity Plan - Annual Series 1-Dividend,,,10.4553,10.2462,10.4553,2007-05-08
102755,Birla Sun Life Fixed Maturity Plan - Annual Series 1-Growth,,,11.7269,11.4924,11.7269,2007-05-08
102682,Birla Sun Life Fixed Maturity Plan - Quarterly Series II-Dividend,,,10.1521,9.9491,10.1521,2007-05-08
102683,Birla Sun Life Fixed Maturity Plan - Quarterly Series II-Growth,,,11.9096,11.6714,11.9096,2007-05-08
100970,Aditya Birla Sun Life MIP - Regular Plan - Growth,INF209K01694,,19.2648,19.1492,19.2648,2007-05-08
100971,Aditya Birla Sun Life MIP - Regular Plan - Monthly Dividend,INF209K01702,,10.9257,10.8601,10.9257,2007-05-08
100972,Aditya Birla Sun Life MIP - Regular Plan - Monthly Payment,INF209K01710,,19.2648,19.1492,19.2648,2007-05-08
101713,Aditya Birla Sun Life MIP II - Saving 5 Plan - Growth - Regular Plan,INF209K01728,,11.7423,11.7423,11.7423,2007-05-08
101711,Aditya Birla Sun Life MIP II - Savings 5 Plan - Monthly Dividend - Regular Plan,INF209K01736,INF209K01DE3,10.1299,10.1299,10.1299,2007-05-08
101712,Aditya Birla Sun Life MIP II - Savings 5 Plan - Monthly Growth /Payment,INF209K01744,,11.7423,11.7423,11.7423,2007-05-08
103184,Aditya Birla Sun Life Monthly Income - Dividend - Regular Plan,INF209K01AX9,INF209K01DX3,10.6519,10.5454,10.6519,2007-05-08
103185,Aditya Birla Sun Life Monthly Income - Growth - Regular Plan,INF209K01AZ4,,25.5457,25.2902,25.5457,2007-05-08
103186,Aditya Birla Sun Life Monthly Income - Quarterly Dividend - Regular Plan,INF209K01AY7,INF209K01DY1,11.1629,11.0513,11.1629,2007-05-08
102670,BARODA PIONEER CHILDREN FUND-GIFT PLAN,,,10.5486,10.4431,10.5486,2007-05-08
100576,DBS Chola Freedom Income -Short Term Fund-Cum- Institutional Plan,,,12.0679,12.0679,12.0679,2007-05-08
100575,DBS Chola Freedom Income -Short Term Fund-Regular - Cumulative,,,11.9248,11.9248,11.9248,2007-05-08
100574,DBS Chola Freedom Income -Short Term Fund-Regular-Monthly Dividend,,,10.9857,10.9857,10.9857,2007-05-08
101192,DBS Chola Freedom Income-STF Regular-Semi Annual Dividend,,,11.8287,11.8287,11.8287,2007-05-08
101958,DBS Chola Liquid Fund - Institutional Plus Weekly Dividend,,,11.9631,11.9631,11.9631,2007-05-08
102019,DBS Chola Monthly Income Plan -Reg.-Quarterly Dividend Plan,,,10.6362,10.6362,10.6362,2007-05-08
102018,DBS Chola Monthly Income Plan -Regular - Cumulative Plan,,,13.3669,13.3669,13.3669,2007-05-08
101895,DBS Chola Monthly Income Plan-Regular-Monthly Dividend Plan,,,10.2645,10.2645,10.2645,2007-05-08
103137,DBS Chola Short Term Floating Rate Fund-Cumulative,,,11.2726,11.2726,11.2726,2007-05-08
103134,DBS Chola Short Term Floating Rate Fund-Dividend-Daily,,,10.0164,10.0164,10.0164,2007-05-08
103136,DBS Chola Short Term Floating Rate Fund-Dividend-Monthly,,,10.2382,10.2382,10.2382,2007-05-08
103135,DBS Chola Short Term Floating Rate Fund-Dividend-Weekly,,,10.2574,10.2574,10.2574,2007-05-08
100567,DBS Chola Triple Ace-Regular - Quarterly Dividend,,,11.4312,11.4312,11.4312,2007-05-08
100563,DBS Chola Triple Ace-Regular -Cumulative,,,24.2782,24.2782,24.2782,2007-05-08
100573,DBS Chola Triple Ace-Regular Bonus,,,13.4899,13.4899,13.4899,2007-05-08
100569,DBS Chola Triple Ace-Semi Annual Dividend,,,11.7482,11.7482,11.7482,2007-05-08
